datetime,project,type,title,author,url,notes
2024-06-04 13:27:19,"",blog,The path to effective data stewardship,"",https://posit.co/blog/the-path-to-effective-data-stewardship/,""
2024-06-03 19:57:28,posit-team,blog,"Upcoming end of support for Red Hat Enterprise Linux 7, CentOS 7, and Amazon Linux 2","",https://posit.co/blog/upcoming-end-of-support-centos-7/,""
2024-06-03 13:55:41,"",blog,Unlock the power of Databricks with R at posit::conf(2024),"",https://posit.co/blog/using-databricks-with-r-conf-workshop/,""
2024-05-30 00:00:00,posit-package-manager,blog,Posit provides patched binaries for R versions 4.0.0 and above,"",https://posit.co/blog/posit-patched-binaries-for-r-versions-4-0-0/,""
2024-05-23 09:00:00,shiny-r,blog,How pharma is pioneering WebAssembly with webR & Shiny for FDA clinical trial submissions,"",https://posit.co/blog/webr-fda-pilot/,""
2024-05-20 22:03:07,posit-workbench,blog,"Multi-user, Snowflake-native Posit Workbench","",https://posit.co/blog/multi-user-snowflake-native-posit-workbench/,""
2024-05-20 14:43:32,"",blog,Attending posit::conf for the first time?,"",https://posit.co/blog/attending-positconf-for-the-first-time/,""
2024-05-17 16:19:51,plotnine,blog,Announcing the 2024 Plotnine Contest,"",https://posit.co/blog/announcing-the-2024-plotnine-contest/,""
2024-05-17 12:13:40,"",blog,Upskill to R Programming with Posit and Atorus Research,"",https://posit.co/blog/upskill-to-r-programming-with-posit-and-atorus-research/,""
2024-05-16 13:17:46,posit-package-manager,blog,"Posit Package Manager 2024.04.0: Offline PyPI repositories, CRAN improvements, and more!","",https://posit.co/blog/posit-package-manager-2024-04-0/,""
2024-05-06 13:41:42,"",blog,Register for R/Pharma at posit::conf(2024),"",https://posit.co/blog/register-for-r-pharma-at-posit-conf-2024/,""
2024-05-01 12:35:50,quarto,blog,RStudio IDE and Posit Workbench 2024.04.0: What’s New,"",https://posit.co/blog/rstudio-2024-04-0-whats-new/,""
2024-04-29 00:00:00,"",blog,posit::conf(2024) agenda is now available!,"",https://posit.co/blog/posit-conf-2024-agenda/,""
2024-04-17 00:00:00,plotnine,blog,Improving the layout of plotnine graphics,"",https://posit.co/blog/improving-the-layout-of-plotnine-graphics/,""
2024-04-16 13:00:17,great-tables,blog,Announcing the 2024 Table Contest,"",https://posit.co/blog/announcing-the-2024-table-contest/,""
2024-04-11 00:00:00,"",blog,Workshops at posit::conf(2024),"",https://posit.co/blog/workshops-at-posit-conf-2024/,""
2024-04-09 13:28:23,dplyr,blog,duckplyr: dplyr Powered by DuckDB - A High-Level Overview,"",https://posit.co/blog/duckplyr-dplyr-powered-by-duckdb/,""
2024-03-21 00:00:00,shiny-r,blog,From Databricks to Posit Connect: Building and Deploying a Shiny for R Application,"",https://posit.co/blog/databricks-shiny-r-app/,""
2024-03-20 00:00:00,posit-workbench,blog,Posit Professional Drivers 2024.03.0: Support for Apple Silicon,"",https://posit.co/blog/pro-drivers-2024-03-0/,""
2024-03-12 00:00:00,posit-connect,blog,Integrating Snowflake and Posit for enhanced analytics,"",https://posit.co/blog/integrating-snowflake-and-posit-for-enhanced-analytics/,""
2024-02-28 17:47:45,"",blog,Get ready for posit::conf(2024)!,"",https://posit.co/blog/posit-conf-2024-announcement/,""
2024-02-27 13:53:07,posit-workbench,blog,Exploring the Future: Harnessing Data with Snowflake and Posit,"",https://posit.co/blog/harnessing-data-with-snowflake-and-posit/,""
2024-02-08 00:00:26,"",blog,posit::conf() call for talks deadline extended!,"",https://posit.co/blog/posit-conf-2024-deadlines-extended/,""
2024-01-30 16:00:17,"",blog,GitHub Copilot on Posit Cloud,"",https://posit.co/blog/github-copilot-on-posit-cloud/,""
2024-01-29 14:23:57,posit-package-manager,blog,Posit Package Manager 2023.12.0: Reporting and Blocking Security Vulnerabilities and More,"",https://posit.co/blog/posit-package-manager-2023-12-0/,""
2024-01-25 00:00:00,gt,blog,All the new features in {gt} 0.10.0,"",https://posit.co/blog/new-features-in-gt-0-10-0/,""
2024-01-24 21:14:54,quarto,blog,Quarto 1.4 has been released,"",https://posit.co/blog/quarto-1-4-release/,""
2024-01-22 16:52:32,"",blog,Tips for communicating ROI of data science projects,"",https://posit.co/blog/tips-for-communicating-roi-of-data-science-projects/,""
2024-01-19 15:52:11,posit-workbench,blog,Posit x Databricks: December '23 Webinar Recap,"",https://posit.co/blog/posit-databricks-webinar-dec2023-q-a/,""
2024-01-18 17:13:08,"",blog,Speak at posit::conf(2024)!,"",https://posit.co/blog/speak-at-posit-conf-2024/,""
2024-01-18 16:02:15,"",blog,2023 Posit Year in Review,"",https://posit.co/blog/2023-posit-year-in-review/,""
